date,spot,mid_price,implied_vol
2008-01-31,120.0,4.2,0.25
2008-02-29,121.52,4.24,0.2503
2008-03-31,123.04,4.28,0.2506
2008-04-30,124.56,4.32,0.2509
2008-05-30,126.08,4.36,0.2512
2008-06-30,127.6,4.4,0.2515
2008-07-31,129.12,4.44,0.2518
2008-08-29,130.64,4.48,0.2521
2008-09-30,132.16,4.52,0.2524
2008-10-31,133.68,4.56,0.2527
2008-11-28,135.2,4.6,0.253
2008-12-31,136.73,4.64,0.2533
2009-01-30,138.25,4.68,0.2536
2009-02-27,139.77,4.72,0.2539
2009-03-31,141.3,4.76,0.2542
2009-04-30,142.82,4.8,0.2545
2009-05-29,144.35,4.84,0.2548
2009-06-30,145.87,4.88,0.2551
2009-07-31,147.4,4.92,0.2554
2009-08-31,148.92,4.96,0.2557
2009-09-30,150.45,5.0,0.256
2009-10-30,151.98,5.04,0.2563
2009-11-30,153.5,5.08,0.2566
2009-12-31,155.03,5.12,0.2569
2010-01-29,156.56,5.16,0.2572
2010-02-26,158.09,5.2,0.2575
2010-03-31,159.62,5.24,0.2578
2010-04-30,161.15,5.28,0.2581
2010-05-31,162.68,5.32,0.2584
2010-06-30,164.21,5.36,0.2587
2010-07-30,165.74,5.4,0.259
2010-08-31,167.27,5.44,0.2593
2010-09-30,168.81,5.48,0.2596
2010-10-29,170.34,5.52,0.2599
2010-11-30,171.87,5.56,0.2602
2010-12-31,173.41,5.6,0.2605
2011-01-31,174.94,5.64,0.2608
2011-02-28,176.47,5.68,0.2611
2011-03-31,178.01,5.72,0.2614
2011-04-29,179.54,5.76,0.2617
2011-05-31,181.08,5.8,0.262
2011-06-30,182.62,5.84,0.2623
2011-07-29,184.15,5.88,0.2626
2011-08-31,185.69,5.92,0.2629
2011-09-30,187.23,5.96,0.2632
2011-10-31,188.77,6.0,0.2635
2011-11-30,190.3,6.04,0.2638
2011-12-30,191.84,6.08,0.2641
2012-01-31,193.38,6.12,0.2644
2012-02-29,194.92,6.16,0.2647
2012-03-30,196.46,6.2,0.265
2012-04-30,198.0,6.24,0.2653
2012-05-31,199.54,6.28,0.2656
2012-06-29,201.09,6.32,0.2659
2012-07-31,202.63,6.36,0.2662
2012-08-31,204.17,6.4,0.2665
2012-09-28,205.71,6.44,0.2668
2012-10-31,207.26,6.48,0.2671
2012-11-30,208.8,6.52,0.2674
2012-12-31,210.35,6.56,0.2677
2013-01-31,211.89,6.6,0.268
2013-02-28,213.44,6.64,0.2683
2013-03-29,214.98,6.68,0.2686
2013-04-30,216.53,6.72,0.2689
2013-05-31,218.07,6.76,0.2692
2013-06-28,219.62,6.8,0.2695
2013-07-31,221.17,6.84,0.2698
2013-08-30,222.72,6.88,0.2701
2013-09-30,224.26,6.92,0.2704
2013-10-31,225.81,6.96,0.2707
2013-11-29,227.36,7.0,0.271
2013-12-31,228.91,7.04,0.2713
2014-01-31,230.46,7.08,0.2716
2014-02-28,232.01,7.12,0.2719
2014-03-31,233.56,7.16,0.2722
2014-04-30,235.12,7.2,0.2725
2014-05-30,236.67,7.24,0.2728
2014-06-30,238.22,7.28,0.2731
2014-07-31,239.77,7.32,0.2734
2014-08-29,241.33,7.36,0.2737
2014-09-30,242.88,7.4,0.274
2014-10-31,244.43,7.44,0.2743
2014-11-28,245.99,7.48,0.2746
2014-12-31,247.54,7.52,0.2749
2015-01-30,249.1,7.56,0.2752
2015-02-27,250.66,7.6,0.2755
2015-03-31,252.21,7.64,0.2758
2015-04-30,253.77,7.68,0.2761
2015-05-29,255.33,7.72,0.2764
2015-06-30,256.88,7.76,0.2767
2015-07-31,258.44,7.8,0.277
2015-08-31,260.0,7.84,0.2773
2015-09-30,261.56,7.88,0.2776
2015-10-30,263.12,7.92,0.2779
2015-11-30,264.68,7.96,0.2782
2015-12-31,266.24,8.0,0.2785
2016-01-29,267.8,8.04,0.2788
2016-02-29,269.36,8.08,0.2791
2016-03-31,270.92,8.12,0.2794
2016-04-29,272.49,8.16,0.2797
2016-05-31,274.05,8.2,0.28
2016-06-30,275.61,8.24,0.2803
2016-07-29,277.18,8.28,0.2806
2016-08-31,278.74,8.32,0.2809
2016-09-30,280.31,8.36,0.2812
2016-10-31,281.87,8.4,0.2815
2016-11-30,283.44,8.44,0.2818
2016-12-30,285.0,8.48,0.2821
2017-01-31,286.57,8.52,0.2824
2017-02-28,288.14,8.56,0.2827
2017-03-31,289.7,8.6,0.283
2017-04-28,291.27,8.64,0.2833
2017-05-31,292.84,8.68,0.2836
2017-06-30,294.41,8.72,0.2839
2017-07-31,295.98,8.76,0.2842
2017-08-31,297.55,8.8,0.2845
2017-09-29,299.12,8.84,0.2848
2017-10-31,300.69,8.88,0.2851
2017-11-30,302.26,8.92,0.2854
2017-12-29,303.83,8.96,0.2857
2018-01-31,305.4,9.0,0.286
2018-02-28,306.97,9.04,0.2863
2018-03-30,308.54,9.08,0.2866
2018-04-30,310.12,9.12,0.2869
2018-05-31,311.69,9.16,0.2872
2018-06-29,313.27,9.2,0.2875
2018-07-31,314.84,9.24,0.2878
2018-08-31,316.42,9.28,0.2881
2018-09-28,317.99,9.32,0.2884
2018-10-31,319.57,9.36,0.2887
2018-11-30,321.14,9.4,0.289
2018-12-31,322.72,9.44,0.2893
2019-01-31,324.3,9.48,0.2896
2019-02-28,325.87,9.52,0.2899
2019-03-29,327.45,9.56,0.2902
2019-04-30,329.03,9.6,0.2905
2019-05-31,330.61,9.64,0.2908
2019-06-28,332.19,9.68,0.2911
2019-07-31,333.77,9.72,0.2914
2019-08-30,335.35,9.76,0.2917
2019-09-30,336.93,9.8,0.292
2019-10-31,338.51,9.84,0.2923
2019-11-29,340.09,9.88,0.2926
2019-12-31,341.68,9.92,0.2929
2020-01-31,343.26,9.96,0.2932
2020-02-28,344.84,10.0,0.2935
2020-03-31,346.42,10.04,0.2938
2020-04-30,348.01,10.08,0.2941
2020-05-29,349.59,10.12,0.2944
2020-06-30,351.18,10.16,0.2947
2020-07-31,352.76,10.2,0.295
2020-08-31,354.35,10.24,0.2953
2020-09-30,355.93,10.28,0.2956
2020-10-30,357.52,10.32,0.2959
2020-11-30,359.11,10.36,0.2962
2020-12-31,360.7,10.4,0.2965
2021-01-29,362.28,10.44,0.2968
2021-02-26,363.87,10.48,0.2971
2021-03-31,365.46,10.52,0.2974
2021-04-30,367.05,10.56,0.2977
2021-05-31,368.64,10.6,0.298
2021-06-30,370.23,10.64,0.2983
2021-07-30,371.82,10.68,0.2986
2021-08-31,373.41,10.72,0.2989
2021-09-30,375.0,10.76,0.2992
2021-10-29,376.6,10.8,0.2995
2021-11-30,378.19,10.84,0.2998
2021-12-31,379.78,10.88,0.3001
2022-01-31,381.37,10.92,0.3004
2022-02-28,382.97,10.96,0.3007
2022-03-31,384.56,11.0,0.301
2022-04-29,386.16,11.04,0.3013
2022-05-31,387.75,11.08,0.3016
2022-06-30,389.35,11.12,0.3019
2022-07-29,390.94,11.16,0.3022
2022-08-31,392.54,11.2,0.3025
2022-09-30,394.14,11.24,0.3028
2022-10-31,395.74,11.28,0.3031
2022-11-30,397.33,11.32,0.3034
2022-12-30,398.93,11.36,0.3037
