trade_date,expiration,strike,option_type,bid,ask,mid,implied_vol,root,maturity_days
2008-01-31,2008-03-16,100.0,C,4.0,4.4,4.2,0.25,SPY,45
2008-02-29,2008-04-14,101.2,C,4.04,4.44,4.24,0.2503,SPY,45
2008-03-31,2008-05-15,102.4,C,4.08,4.48,4.28,0.2506,SPY,45
2008-04-30,2008-06-14,103.6,C,4.12,4.52,4.32,0.2509,SPY,45
2008-05-30,2008-07-14,104.8,C,4.16,4.56,4.36,0.2512,SPY,45
2008-06-30,2008-08-14,106.0,C,4.2,4.6,4.4,0.2515,SPY,45
2008-07-31,2008-09-14,107.2,C,4.24,4.64,4.44,0.2518,SPY,45
2008-08-29,2008-10-13,108.4,C,4.28,4.68,4.48,0.2521,SPY,45
2008-09-30,2008-11-14,109.6,C,4.32,4.72,4.52,0.2524,SPY,45
2008-10-31,2008-12-15,110.8,C,4.36,4.76,4.56,0.2527,SPY,45
2008-11-28,2009-01-12,112.0,C,4.4,4.8,4.6,0.253,SPY,45
2008-12-31,2009-02-14,113.2,C,4.44,4.84,4.64,0.2533,SPY,45
2009-01-30,2009-03-16,114.4,C,4.48,4.88,4.68,0.2536,SPY,45
2009-02-27,2009-04-13,115.6,C,4.52,4.92,4.72,0.2539,SPY,45
2009-03-31,2009-05-15,116.8,C,4.56,4.96,4.76,0.2542,SPY,45
2009-04-30,2009-06-14,118.0,C,4.6,5.0,4.8,0.2545,SPY,45
2009-05-29,2009-07-13,119.2,C,4.64,5.04,4.84,0.2548,SPY,45
2009-06-30,2009-08-14,120.4,C,4.68,5.08,4.88,0.2551,SPY,45
2009-07-31,2009-09-14,121.6,C,4.72,5.12,4.92,0.2554,SPY,45
2009-08-31,2009-10-15,122.8,C,4.76,5.16,4.96,0.2557,SPY,45
2009-09-30,2009-11-14,124.0,C,4.8,5.2,5.0,0.256,SPY,45
2009-10-30,2009-12-14,125.2,C,4.84,5.24,5.04,0.2563,SPY,45
2009-11-30,2010-01-14,126.4,C,4.88,5.28,5.08,0.2566,SPY,45
2009-12-31,2010-02-14,127.6,C,4.92,5.32,5.12,0.2569,SPY,45
2010-01-29,2010-03-15,128.8,C,4.96,5.36,5.16,0.2572,SPY,45
2010-02-26,2010-04-12,130.0,C,5.0,5.4,5.2,0.2575,SPY,45
2010-03-31,2010-05-15,131.2,C,5.04,5.44,5.24,0.2578,SPY,45
2010-04-30,2010-06-14,132.4,C,5.08,5.48,5.28,0.2581,SPY,45
2010-05-31,2010-07-15,133.6,C,5.12,5.52,5.32,0.2584,SPY,45
2010-06-30,2010-08-14,134.8,C,5.16,5.56,5.36,0.2587,SPY,45
2010-07-30,2010-09-13,136.0,C,5.2,5.6,5.4,0.259,SPY,45
2010-08-31,2010-10-15,137.2,C,5.24,5.64,5.44,0.2593,SPY,45
2010-09-30,2010-11-14,138.4,C,5.28,5.68,5.48,0.2596,SPY,45
2010-10-29,2010-12-13,139.6,C,5.32,5.72,5.52,0.2599,SPY,45
2010-11-30,2011-01-14,140.8,C,5.36,5.76,5.56,0.2602,SPY,45
2010-12-31,2011-02-14,142.0,C,5.4,5.8,5.6,0.2605,SPY,45
2011-01-31,2011-03-17,143.2,C,5.44,5.84,5.64,0.2608,SPY,45
2011-02-28,2011-04-14,144.4,C,5.48,5.88,5.68,0.2611,SPY,45
2011-03-31,2011-05-15,145.6,C,5.52,5.92,5.72,0.2614,SPY,45
2011-04-29,2011-06-13,146.8,C,5.56,5.96,5.76,0.2617,SPY,45
2011-05-31,2011-07-15,148.0,C,5.6,6.0,5.8,0.262,SPY,45
2011-06-30,2011-08-14,149.2,C,5.64,6.04,5.84,0.2623,SPY,45
2011-07-29,2011-09-12,150.4,C,5.68,6.08,5.88,0.2626,SPY,45
2011-08-31,2011-10-15,151.6,C,5.72,6.12,5.92,0.2629,SPY,45
2011-09-30,2011-11-14,152.8,C,5.76,6.16,5.96,0.2632,SPY,45
2011-10-31,2011-12-15,154.0,C,5.8,6.2,6.0,0.2635,SPY,45
2011-11-30,2012-01-14,155.2,C,5.84,6.24,6.04,0.2638,SPY,45
2011-12-30,2012-02-13,156.4,C,5.88,6.28,6.08,0.2641,SPY,45
2012-01-31,2012-03-16,157.6,C,5.92,6.32,6.12,0.2644,SPY,45
2012-02-29,2012-04-14,158.8,C,5.96,6.36,6.16,0.2647,SPY,45
2012-03-30,2012-05-14,160.0,C,6.0,6.4,6.2,0.265,SPY,45
2012-04-30,2012-06-14,161.2,C,6.04,6.44,6.24,0.2653,SPY,45
2012-05-31,2012-07-15,162.4,C,6.08,6.48,6.28,0.2656,SPY,45
2012-06-29,2012-08-13,163.6,C,6.12,6.52,6.32,0.2659,SPY,45
2012-07-31,2012-09-14,164.8,C,6.16,6.56,6.36,0.2662,SPY,45
2012-08-31,2012-10-15,166.0,C,6.2,6.6,6.4,0.2665,SPY,45
2012-09-28,2012-11-12,167.2,C,6.24,6.64,6.44,0.2668,SPY,45
2012-10-31,2012-12-15,168.4,C,6.28,6.68,6.48,0.2671,SPY,45
2012-11-30,2013-01-14,169.6,C,6.32,6.72,6.52,0.2674,SPY,45
2012-12-31,2013-02-14,170.8,C,6.36,6.76,6.56,0.2677,SPY,45
2013-01-31,2013-03-17,172.0,C,6.4,6.8,6.6,0.268,SPY,45
2013-02-28,2013-04-14,173.2,C,6.44,6.84,6.64,0.2683,SPY,45
2013-03-29,2013-05-13,174.4,C,6.48,6.88,6.68,0.2686,SPY,45
2013-04-30,2013-06-14,175.6,C,6.52,6.92,6.72,0.2689,SPY,45
2013-05-31,2013-07-15,176.8,C,6.56,6.96,6.76,0.2692,SPY,45
2013-06-28,2013-08-12,178.0,C,6.6,7.0,6.8,0.2695,SPY,45
2013-07-31,2013-09-14,179.2,C,6.64,7.04,6.84,0.2698,SPY,45
2013-08-30,2013-10-14,180.4,C,6.68,7.08,6.88,0.2701,SPY,45
2013-09-30,2013-11-14,181.6,C,6.72,7.12,6.92,0.2704,SPY,45
2013-10-31,2013-12-15,182.8,C,6.76,7.16,6.96,0.2707,SPY,45
2013-11-29,2014-01-13,184.0,C,6.8,7.2,7.0,0.271,SPY,45
2013-12-31,2014-02-14,185.2,C,6.84,7.24,7.04,0.2713,SPY,45
2014-01-31,2014-03-17,186.4,C,6.88,7.28,7.08,0.2716,SPY,45
2014-02-28,2014-04-14,187.6,C,6.92,7.32,7.12,0.2719,SPY,45
2014-03-31,2014-05-15,188.8,C,6.96,7.36,7.16,0.2722,SPY,45
2014-04-30,2014-06-14,190.0,C,7.0,7.4,7.2,0.2725,SPY,45
2014-05-30,2014-07-14,191.2,C,7.04,7.44,7.24,0.2728,SPY,45
2014-06-30,2014-08-14,192.4,C,7.08,7.48,7.28,0.2731,SPY,45
2014-07-31,2014-09-14,193.6,C,7.12,7.52,7.32,0.2734,SPY,45
2014-08-29,2014-10-13,194.8,C,7.16,7.56,7.36,0.2737,SPY,45
2014-09-30,2014-11-14,196.0,C,7.2,7.6,7.4,0.274,SPY,45
2014-10-31,2014-12-15,197.2,C,7.24,7.64,7.44,0.2743,SPY,45
2014-11-28,2015-01-12,198.4,C,7.28,7.68,7.48,0.2746,SPY,45
2014-12-31,2015-02-14,199.6,C,7.32,7.72,7.52,0.2749,SPY,45
2015-01-30,2015-03-16,200.8,C,7.36,7.76,7.56,0.2752,SPY,45
2015-02-27,2015-04-13,202.0,C,7.4,7.8,7.6,0.2755,SPY,45
2015-03-31,2015-05-15,203.2,C,7.44,7.84,7.64,0.2758,SPY,45
2015-04-30,2015-06-14,204.4,C,7.48,7.88,7.68,0.2761,SPY,45
2015-05-29,2015-07-13,205.6,C,7.52,7.92,7.72,0.2764,SPY,45
2015-06-30,2015-08-14,206.8,C,7.56,7.96,7.76,0.2767,SPY,45
2015-07-31,2015-09-14,208.0,C,7.6,8.0,7.8,0.277,SPY,45
2015-08-31,2015-10-15,209.2,C,7.64,8.04,7.84,0.2773,SPY,45
2015-09-30,2015-11-14,210.4,C,7.68,8.08,7.88,0.2776,SPY,45
2015-10-30,2015-12-14,211.6,C,7.72,8.12,7.92,0.2779,SPY,45
2015-11-30,2016-01-14,212.8,C,7.76,8.16,7.96,0.2782,SPY,45
2015-12-31,2016-02-14,214.0,C,7.8,8.2,8.0,0.2785,SPY,45
2016-01-29,2016-03-14,215.2,C,7.84,8.24,8.04,0.2788,SPY,45
2016-02-29,2016-04-14,216.4,C,7.88,8.28,8.08,0.2791,SPY,45
2016-03-31,2016-05-15,217.6,C,7.92,8.32,8.12,0.2794,SPY,45
2016-04-29,2016-06-13,218.8,C,7.96,8.36,8.16,0.2797,SPY,45
2016-05-31,2016-07-15,220.0,C,8.0,8.4,8.2,0.28,SPY,45
2016-06-30,2016-08-14,221.2,C,8.04,8.44,8.24,0.2803,SPY,45
2016-07-29,2016-09-12,222.4,C,8.08,8.48,8.28,0.2806,SPY,45
2016-08-31,2016-10-15,223.6,C,8.12,8.52,8.32,0.2809,SPY,45
2016-09-30,2016-11-14,224.8,C,8.16,8.56,8.36,0.2812,SPY,45
2016-10-31,2016-12-15,226.0,C,8.2,8.6,8.4,0.2815,SPY,45
2016-11-30,2017-01-14,227.2,C,8.24,8.64,8.44,0.2818,SPY,45
2016-12-30,2017-02-13,228.4,C,8.28,8.68,8.48,0.2821,SPY,45
2017-01-31,2017-03-17,229.6,C,8.32,8.72,8.52,0.2824,SPY,45
2017-02-28,2017-04-14,230.8,C,8.36,8.76,8.56,0.2827,SPY,45
2017-03-31,2017-05-15,232.0,C,8.4,8.8,8.6,0.283,SPY,45
2017-04-28,2017-06-12,233.2,C,8.44,8.84,8.64,0.2833,SPY,45
2017-05-31,2017-07-15,234.4,C,8.48,8.88,8.68,0.2836,SPY,45
2017-06-30,2017-08-14,235.6,C,8.52,8.92,8.72,0.2839,SPY,45
2017-07-31,2017-09-14,236.8,C,8.56,8.96,8.76,0.2842,SPY,45
2017-08-31,2017-10-15,238.0,C,8.6,9.0,8.8,0.2845,SPY,45
2017-09-29,2017-11-13,239.2,C,8.64,9.04,8.84,0.2848,SPY,45
2017-10-31,2017-12-15,240.4,C,8.68,9.08,8.88,0.2851,SPY,45
2017-11-30,2018-01-14,241.6,C,8.72,9.12,8.92,0.2854,SPY,45
2017-12-29,2018-02-12,242.8,C,8.76,9.16,8.96,0.2857,SPY,45
2018-01-31,2018-03-17,244.0,C,8.8,9.2,9.0,0.286,SPY,45
2018-02-28,2018-04-14,245.2,C,8.84,9.24,9.04,0.2863,SPY,45
2018-03-30,2018-05-14,246.4,C,8.88,9.28,9.08,0.2866,SPY,45
2018-04-30,2018-06-14,247.6,C,8.92,9.32,9.12,0.2869,SPY,45
2018-05-31,2018-07-15,248.8,C,8.96,9.36,9.16,0.2872,SPY,45
2018-06-29,2018-08-13,250.0,C,9.0,9.4,9.2,0.2875,SPY,45
2018-07-31,2018-09-14,251.2,C,9.04,9.44,9.24,0.2878,SPY,45
2018-08-31,2018-10-15,252.4,C,9.08,9.48,9.28,0.2881,SPY,45
2018-09-28,2018-11-12,253.6,C,9.12,9.52,9.32,0.2884,SPY,45
2018-10-31,2018-12-15,254.8,C,9.16,9.56,9.36,0.2887,SPY,45
2018-11-30,2019-01-14,256.0,C,9.2,9.6,9.4,0.289,SPY,45
2018-12-31,2019-02-14,257.2,C,9.24,9.64,9.44,0.2893,SPY,45
2019-01-31,2019-03-17,258.4,C,9.28,9.68,9.48,0.2896,SPY,45
2019-02-28,2019-04-14,259.6,C,9.32,9.72,9.52,0.2899,SPY,45
2019-03-29,2019-05-13,260.8,C,9.36,9.76,9.56,0.2902,SPY,45
2019-04-30,2019-06-14,262.0,C,9.4,9.8,9.6,0.2905,SPY,45
2019-05-31,2019-07-15,263.2,C,9.44,9.84,9.64,0.2908,SPY,45
2019-06-28,2019-08-12,264.4,C,9.48,9.88,9.68,0.2911,SPY,45
2019-07-31,2019-09-14,265.6,C,9.52,9.92,9.72,0.2914,SPY,45
2019-08-30,2019-10-14,266.8,C,9.56,9.96,9.76,0.2917,SPY,45
2019-09-30,2019-11-14,268.0,C,9.6,10.0,9.8,0.292,SPY,45
2019-10-31,2019-12-15,269.2,C,9.64,10.04,9.84,0.2923,SPY,45
2019-11-29,2020-01-13,270.4,C,9.68,10.08,9.88,0.2926,SPY,45
2019-12-31,2020-02-14,271.6,C,9.72,10.12,9.92,0.2929,SPY,45
2020-01-31,2020-03-16,272.8,C,9.76,10.16,9.96,0.2932,SPY,45
2020-02-28,2020-04-13,274.0,C,9.8,10.2,10.0,0.2935,SPY,45
2020-03-31,2020-05-15,275.2,C,9.84,10.24,10.04,0.2938,SPY,45
2020-04-30,2020-06-14,276.4,C,9.88,10.28,10.08,0.2941,SPY,45
2020-05-29,2020-07-13,277.6,C,9.92,10.32,10.12,0.2944,SPY,45
2020-06-30,2020-08-14,278.8,C,9.96,10.36,10.16,0.2947,SPY,45
2020-07-31,2020-09-14,280.0,C,10.0,10.4,10.2,0.295,SPY,45
2020-08-31,2020-10-15,281.2,C,10.04,10.44,10.24,0.2953,SPY,45
2020-09-30,2020-11-14,282.4,C,10.08,10.48,10.28,0.2956,SPY,45
2020-10-30,2020-12-14,283.6,C,10.12,10.52,10.32,0.2959,SPY,45
2020-11-30,2021-01-14,284.8,C,10.16,10.56,10.36,0.2962,SPY,45
2020-12-31,2021-02-14,286.0,C,10.2,10.6,10.4,0.2965,SPY,45
2021-01-29,2021-03-15,287.2,C,10.24,10.64,10.44,0.2968,SPY,45
2021-02-26,2021-04-12,288.4,C,10.28,10.68,10.48,0.2971,SPY,45
2021-03-31,2021-05-15,289.6,C,10.32,10.72,10.52,0.2974,SPY,45
2021-04-30,2021-06-14,290.8,C,10.36,10.76,10.56,0.2977,SPY,45
2021-05-31,2021-07-15,292.0,C,10.4,10.8,10.6,0.298,SPY,45
2021-06-30,2021-08-14,293.2,C,10.44,10.84,10.64,0.2983,SPY,45
2021-07-30,2021-09-13,294.4,C,10.48,10.88,10.68,0.2986,SPY,45
2021-08-31,2021-10-15,295.6,C,10.52,10.92,10.72,0.2989,SPY,45
2021-09-30,2021-11-14,296.8,C,10.56,10.96,10.76,0.2992,SPY,45
2021-10-29,2021-12-13,298.0,C,10.6,11.0,10.8,0.2995,SPY,45
2021-11-30,2022-01-14,299.2,C,10.64,11.04,10.84,0.2998,SPY,45
2021-12-31,2022-02-14,300.4,C,10.68,11.08,10.88,0.3001,SPY,45
2022-01-31,2022-03-17,301.6,C,10.72,11.12,10.92,0.3004,SPY,45
2022-02-28,2022-04-14,302.8,C,10.76,11.16,10.96,0.3007,SPY,45
2022-03-31,2022-05-15,304.0,C,10.8,11.2,11.0,0.301,SPY,45
2022-04-29,2022-06-13,305.2,C,10.84,11.24,11.04,0.3013,SPY,45
2022-05-31,2022-07-15,306.4,C,10.88,11.28,11.08,0.3016,SPY,45
2022-06-30,2022-08-14,307.6,C,10.92,11.32,11.12,0.3019,SPY,45
2022-07-29,2022-09-12,308.8,C,10.96,11.36,11.16,0.3022,SPY,45
2022-08-31,2022-10-15,310.0,C,11.0,11.4,11.2,0.3025,SPY,45
2022-09-30,2022-11-14,311.2,C,11.04,11.44,11.24,0.3028,SPY,45
2022-10-31,2022-12-15,312.4,C,11.08,11.48,11.28,0.3031,SPY,45
2022-11-30,2023-01-14,313.6,C,11.12,11.52,11.32,0.3034,SPY,45
2022-12-30,2023-02-13,314.8,C,11.16,11.56,11.36,0.3037,SPY,45
